Restaurant Name,Rating,Number of Reviews,Lat/Long,Rate_norm,Review_norm
مستر کباب,,8.0,"('30.405289', '55.978789')",,0.025454545454545455
صبحانه و کبابی منصور,,,"('30.401609', '55.997910')",,
بیرون بر زیتون,4.3,51.0,"('30.372160723692332', '56.02693630286544')",0.7499999999999999,0.18181818181818182
تهیه غذا ناز خاتون,4.6,29.0,"('30.398720', '56.009689')",0.857142857142857,0.10181818181818182
کباب خانگی نیازی,,,"('30.408454', '55.986143')",,
رستوران و کبابی 90,,,"('30.41153918056795', '55.98381422816013')",,
صبحانه نشاط,,4.0,"('30.393864581917242', '55.99395755365962')",,0.01090909090909091
برادران فتحی,,22.0,"('30.396294', '55.974314')",,0.07636363636363637
رستوران و فست فود هفت خان,,,"('30.417957177163846', '55.95972296589502')",,
رستوران آب و آتش (شعبه ابوذر),2.4,20.0,"('30.395383', '55.991980')",0.07142857142857134,0.06909090909090909
رستوران معروف,,5.0,"('30.422326', '55.977616')",,0.014545454545454545
رستوران و کباب بناب آذربایجان,,5.0,"('30.425637', '55.975417')",,0.014545454545454545
رستوران شب های کویر,4.0,276.0,"('30.401899', '55.986203')",0.6428571428571428,1.0
خانه کباب,,,"('30.395472260001643', '55.994920604114256')",,
جگرسرا و کبابی شب نشین,,1.0,"('30.39904902337028', '55.990880044827165')",,0.0
رستوران یاس کبود,,1.0,"('30.414430292283', '55.961038197861285')",,0.0
رستوران پامچال,2.2,8.0,"('30.368341803599353', '56.04231453714482')",0.0,0.025454545454545455
کره کباب ناردون,,18.0,"('30.407131', '55.982608')",,0.06181818181818182
کباب بره سفید,4.6,44.0,"('30.404124', '55.986265')",0.857142857142857,0.15636363636363637
رستوران اردیبهشت,,,"('30.407517169692', '55.994136689391624')",,
نان داغ کباب داغ حیدربابا,,17.0,"('30.403067', '55.973142')",,0.05818181818181818
کبابی اسماعیلی (بازار),,,"(None, None)",,
قیمه قرمه تهران,,,"('30.400783', '55.970746')",,
بریانی نمونه,,1.0,"('30.400277', '55.990232')",,0.0
کبابی دایی ولی گلپایگانی,,54.0,"('30.411618', '55.984009')",,0.19272727272727272
کافه رستوران برکه,,,"('30.413953658790884', '55.98798128846526')",,
بیرون بر ملک,,2.0,"('30.434090376150138', '55.96942972757219')",,0.0036363636363636364
رستوران سرآشپز,,3.0,"('30.40932288570576', '55.99368298426203')",,0.007272727272727273
جگرکی دلچسب,,,"('30.397236', '55.976338')",,
صبحانه جانانه,,1.0,"('30.387665', '56.005120')",,0.0
رستوران کد بانو,,,"('30.403462430893807', '55.984877881297464')",,
مرغ بریان گیلاس,,2.0,"('30.401145744128442', '55.989301123189904')",,0.0036363636363636364
کباب سرای ریحون,,12.0,"('30.417848', '56.005584')",,0.04
بیرون بر خان,,5.0,"('30.401247', '55.996994')",,0.014545454545454545
بیرون بر چاینیز فود (Chinese Food),4.2,15.0,"('30.402826815838708', '56.01381388388247')",0.7142857142857143,0.05090909090909091
رستوران سنتی بی بی شریفه,,,"('30.383016198071296', '55.976772521505794')",,
رستوران الماس کویر,,,"('30.439711394613038', '55.96032153304957')",,
چلو کبابی سیدباقر و پسران,4.5,19.0,"('30.405020071311288', '55.98876887978504')",0.8214285714285714,0.06545454545454546
رستوران تک ستاره شیراز,4.5,223.0,"('30.404234', '55.986485')",0.8214285714285714,0.8072727272727273
نشاط فودسنتر,,32.0,"('30.403247', '55.985260')",,0.11272727272727273
سفره خانه سنتی یادگار پدری,,,"('30.411254315352288', '55.99233651064209')",,
کباب ساطوری بناب,,30.0,"('30.387693817668936', '56.00535516319084')",,0.10545454545454545
رستوران گیلانی,,30.0,"('30.400827', '56.000090')",,0.10545454545454545
بشقاب طلایی,,,"('30.379187648318933', '56.012664715972306')",,
رستوران تارونی,,2.0,"('30.397593927262466', '55.976465769855885')",,0.0036363636363636364
کباب سرای سعیدی,,,"('30.425066925370395', '55.975671800067566')",,
رستوران زنجیره ای مصطفی کلبادی نژاد (MKN),3.7,55.0,"('30.386346', '55.959517')",0.5357142857142857,0.19636363636363635
رستوران و فست فود امیر,,5.0,"('30.380175', '55.975605')",,0.014545454545454545
تهیه غذای پارسی,4.6,16.0,"('30.373435984441862', '56.02124028174361')",0.857142857142857,0.05454545454545454
بیرون بر پدر,,2.0,"('30.418718848142728', '55.97077491772215')",,0.0036363636363636364
رستوران آشپز,,55.0,"('30.401459', '55.988949')",,0.19636363636363635
غذا خانگی خاتون,,7.0,"('30.405487', '55.989084')",,0.02181818181818182
کباب بناب آذربایجان,,5.0,"('30.411645679975933', '55.99275219378199')",,0.014545454545454545
رستوران شمرون,,,"('30.395360', '55.991866')",,
کباب سرای شاکری,,3.0,"('30.409542', '55.992351')",,0.007272727272727273
چلو کباب بناب اسماعیلی,,1.0,"('30.41812300928335', '55.983960320624554')",,0.0
رستوران دهکده غذا,,4.0,"('30.380584', '56.010275')",,0.01090909090909091
عمارت,,10.0,"('30.409966', '56.000470')",,0.03272727272727273
رستوران گیلدخت,4.0,165.0,"('30.400851', '55.987042')",0.6428571428571428,0.5963636363636363
کبابی و جگرکی ایستگاه شکم,,5.0,"('30.397568654761397', '55.9907253621283')",,0.014545454545454545
کباب بناب شانلی آذربایجان,3.8,25.0,"('30.40207581285352', '55.97392112340446')",0.5714285714285713,0.08727272727272728
رستوران سنتی مهر,,5.0,"('30.380284', '55.988015')",,0.014545454545454545
رستوران من,,,"('30.39126180171386', '56.00680068813432')",,
رستوران جانانه,,,"('30.387665', '56.005120')",,
بیرون بر ترنج,,36.0,"('30.41936167995708', '55.9734096784925')",,0.12727272727272726
کافه کباب همیشگی,,1.0,"('30.393113', '55.993778')",,0.0
کافه آش پیاله,,1.0,"('30.388693162626534', '55.998986050092135')",,0.0
بیرون بر شبدیز,3.9,28.0,"('30.379799495738514', '55.98153295596092')",0.6071428571428571,0.09818181818181818
کبابی و جگرکی آدانا,,,"('30.4263924952644', '55.97241626709076')",,
فرش بار (جیم فود سابق),,6.0,"('30.382539561549784', '56.015776701690264')",,0.01818181818181818
کباب فرهاد,,,"('30.403844', '55.986424')",,
آشکده لیرو,5.0,35.0,"('30.410409119841677', '55.98118366858506')",1.0,0.12363636363636364
دکتر جیگر,,,"('30.382233', '56.009227')",,
کبابی و جگرسرای هزار و یک شب,,1.0,"('30.392869231198908', '55.99835221354585')",,0.0
صبحانه ستارخان,,,"('30.402776712682982', '55.97893610925867')",,
تهیه غذا کاکو,4.2,63.0,"('30.396071778643783', '55.97440761366786')",0.7142857142857143,0.22545454545454546
چلو خورش,,,"('30.39904902337028', '55.990880044827165')",,
پاچینی نمکدون,,16.0,"('30.401221', '55.989916')",,0.05454545454545454
تهیه غذای آب و آتش,3.7,42.0,"('30.394245', '55.971516')",0.5357142857142857,0.14909090909090908
بیرون بر عمو عسکر,,10.0,"('30.394443', '55.971728')",,0.03272727272727273
بیرون بر سرو,,7.0,"('30.411588777291012', '55.98390324285695')",,0.02181818181818182
باغچه رستوران هشتگ,3.0,19.0,"('30.369990', '56.034797')",0.28571428571428564,0.06545454545454546
کبابی باباطاهر,,8.0,"('30.402847274788428', '55.98484505861657')",,0.025454545454545455
طباخی طهران,,1.0,"('30.374086558127036', '56.02349431652941')",,0.0
رستوران هتل الماس,,4.0,"('30.387681', '56.004230')",,0.01090909090909091
بیرون بر صاحب الزمان,,,"('30.433243932172452', '56.03162819108577')",,
کباب بره حسام,,4.0,"('30.382233', '56.009227')",,0.01090909090909091
رستوران نان و نمک,,,"('30.414568', '55.987859')",,
تهیه غذا کیمیا,3.8,20.0,"('30.418073', '56.006132')",0.5714285714285713,0.06909090909090909
رستوران دیزی بار,,3.0,"('30.398419170130566', '55.98546670443938')",,0.007272727272727273
غذای رژیمی لیدو (LIDO),,4.0,"('30.417025', '55.979150')",,0.01090909090909091
رستوران و کبابسرا ستاره شب,,,"('30.430077', '56.051900')",,
صبحانه و کبابی دل آرا,,,"('30.40748326746425', '55.98344225903945')",,
کباب سرای ایرانی,,7.0,"('30.387541184654243', '55.961475349166776')",,0.02181818181818182
بیرون بر شکم طلایی,,2.0,"('30.388322155226664', '55.9935545577392')",,0.0036363636363636364
دایت فود (غذای رژیمی و سالم),4.6,16.0,"('30.396211784994886', '55.996933544969025')",0.857142857142857,0.05454545454545454
رستوران سالم,,13.0,"('30.387073', '55.960312')",,0.04363636363636364
بیرون بر زرین غذا,,3.0,"('30.414768', '55.987212')",,0.007272727272727273
کباب بره صوفیا,4.3,46.0,"('30.392045', '55.998651')",0.7499999999999999,0.16363636363636364
بیرون بر همیشه بهار,,15.0,"('30.398197', '55.982148')",,0.05090909090909091
جگرسرای شب نشین,,4.0,"('30.398643', '55.991407')",,0.01090909090909091
رستوران شهرزاد,4.1,157.0,"('30.403926', '55.997480')",0.6785714285714284,0.5672727272727273
هایپر آتیس,,3.0,"('30.384212980978205', '56.00835186744693')",,0.007272727272727273
رستوران ته چین,3.8,69.0,"('30.392073874782096', '56.01147975064442')",0.5714285714285713,0.24727272727272728
